booking_id,customer_id,hotel_name,room_type,price_per_night,nights,total_amount,rating,payment_method,booking_platform,booking_date,check_in_date,check_out_date,discount,cancellation_policy,is_cancelled,booking_status
BKG100011,CUST40107,Amman Grand Hotel,Suite,299.55,4,1018.47,3.5,Credit Card,Booking.com,2025-05-11,2025-06-14,2025-06-18,15,Free Cancellation,0,Checked-out
BKG100012,CUST10760,Amman Grand Hotel,Family,263.62,3,672.23,4.3,Bank Transfer,Booking.com,2025-06-23,2025-06-28,2025-07-01,15,Partial Refund,0,Checked-out
BKG100013,CUST37116,Amman Grand Hotel,Double,75.11,5,356.77,4.3,Credit Card,Booking.com,2023-01-27,2023-02-15,2023-02-20,5,Non-refundable,0,Checked-out
BKG100014,CUST16494,Amman Grand Hotel,Single,69.19,8,498.17,4.2,Credit Card,Agoda,2025-04-26,2025-05-22,2025-05-30,10,Partial Refund,0,Checked-out
BKG100015,CUST12008,Amman Grand Hotel,Single,73.71,4,280.1,3.3,Credit Card,Direct,2024-08-12,2024-08-28,2024-09-01,5,Partial Refund,0,Checked-out
BKG100016,CUST33447,Amman Grand Hotel,Family,237.36,1,201.76,3.7,Credit Card,Direct,2025-02-08,2025-02-23,2025-02-24,15,Partial Refund,0,Checked-out
BKG100017,CUST19176,Amman Grand Hotel,Suite,236.53,5,251.31,4.1,Credit Card,Agoda,2025-01-09,2025-02-26,2025-03-03,15,Partial Refund,1,Cancelled
BKG100018,CUST34437,Amman Grand Hotel,Family,138.31,2,276.62,4.8,Credit Card,Expedia,2024-02-17,2024-03-26,2024-03-28,0,Partial Refund,0,Checked-out
BKG100019,CUST42657,Amman Grand Hotel,Single,61.85,4,247.4,4.0,Online Payment,Expedia,2025-02-28,2025-04-04,2025-04-08,0,Non-refundable,0,Checked-out
BKG100020,CUST51033,Amman Grand Hotel,Single,63.82,4,255.28,3.8,Online Payment,Expedia,2025-06-22,2025-07-22,2025-07-26,0,Partial Refund,0,Checked-out
BKG100021,CUST25276,Amman Grand Hotel,Deluxe,127.62,5,638.1,3.8,Credit Card,Booking.com,2025-07-25,2025-09-03,2025-09-08,0,Non-refundable,0,Checked-out
BKG100022,CUST30217,Amman Grand Hotel,Deluxe,165.39,3,396.94,3.7,Cash,Direct,2023-10-31,2023-11-10,2023-11-13,20,Free Cancellation,0,Checked-out
BKG100023,CUST16494,Amman Grand Hotel,Family,204.53,3,490.87,4.7,Cash,Direct,2025-01-15,2025-01-26,2025-01-29,20,Free Cancellation,0,Checked-out
BKG100024,CUST42798,Amman Grand Hotel,Deluxe,242.06,7,402.42,4.1,Bank Transfer,Agoda,2025-05-29,2025-07-28,2025-08-04,5,Partial Refund,1,Cancelled
BKG100025,CUST46996,Amman Grand Hotel,Single,64.7,1,64.7,3.7,Online Payment,Expedia,2025-10-09,2025-10-21,2025-10-22,0,Partial Refund,0,Checked-out
BKG100026,CUST42121,Amman Grand Hotel,Suite,337.16,11,3337.88,4.3,Online Payment,Booking.com,2025-08-14,2025-09-16,2025-09-27,10,Free Cancellation,0,Checked-out
BKG100027,CUST31185,Amman Grand Hotel,Single,90.31,1,76.76,4.8,Cash,Direct,2025-07-13,2025-07-18,2025-07-19,15,Partial Refund,0,Checked-out
BKG100028,CUST35141,Amman Grand Hotel,Double,58.44,2,116.88,4.3,Online Payment,Booking.com,2023-03-20,2023-04-13,2023-04-15,0,Non-refundable,0,Checked-out
BKG100029,CUST18728,Amman Grand Hotel,Single,59.03,6,336.47,3.9,Credit Card,Booking.com,2024-04-12,2024-04-28,2024-05-04,5,Free Cancellation,0,Checked-out
BKG100030,CUST43594,Amman Grand Hotel,Double,91.31,5,410.9,3.4,Credit Card,Direct,2024-08-23,2024-08-29,2024-09-03,10,Free Cancellation,0,Checked-out
BKG100031,CUST40053,Amman Grand Hotel,Single,86.88,1,82.54,3.4,Credit Card,Booking.com,2025-04-28,2025-05-02,2025-05-03,5,Non-refundable,0,Checked-out
BKG100032,CUST51033,Amman Grand Hotel,Double,78.41,2,141.14,3.8,Credit Card,Direct,2024-06-30,2024-07-17,2024-07-19,10,Non-refundable,0,Checked-out
BKG100033,CUST35540,Amman Grand Hotel,Deluxe,86.21,3,245.7,4.0,Online Payment,Expedia,2024-12-05,2024-12-27,2024-12-30,5,Non-refundable,0,Checked-out
BKG100034,CUST43994,Amman Grand Hotel,Double,84.49,8,608.33,3.9,Credit Card,Agoda,2023-05-01,2023-05-12,2023-05-20,10,Free Cancellation,0,Checked-out
BKG100035,CUST33171,Amman Grand Hotel,Deluxe,117.03,3,351.09,4.2,Cash,Direct,2023-11-24,2023-11-27,2023-11-30,0,Partial Refund,0,Checked-out
BKG100036,CUST46996,Amman Grand Hotel,Deluxe,169.42,2,338.84,3.8,Credit Card,Booking.com,2025-07-23,2025-08-01,2025-08-03,0,Free Cancellation,0,Checked-out
BKG100037,CUST36965,Amman Grand Hotel,Single,68.68,2,123.62,3.7,Online Payment,Direct,2024-05-04,2024-05-16,2024-05-18,10,Non-refundable,0,Checked-out
BKG100038,CUST31998,Amman Grand Hotel,Family,154.23,2,262.19,4.5,Online Payment,Booking.com,2023-02-17,2023-03-10,2023-03-12,15,Free Cancellation,0,Checked-out
BKG100039,CUST16494,Amman Grand Hotel,Family,292.06,5,1387.28,4.0,Bank Transfer,Direct,2023-07-29,2023-08-05,2023-08-10,5,Partial Refund,0,Checked-out
BKG100040,CUST45908,Amman Grand Hotel,Double,93.96,2,169.13,4.5,Bank Transfer,Expedia,2025-11-19,2025-12-23,2025-12-25,10,Partial Refund,0,Checked-out
BKG100041,CUST46129,Amman Grand Hotel,Double,101.53,2,91.38,4.1,Credit Card,Direct,2025-05-10,2025-05-17,2025-05-19,0,Non-refundable,1,Cancelled
BKG100042,CUST23837,Amman Grand Hotel,Single,79.3,6,428.22,3.3,Credit Card,Expedia,2024-05-06,2024-05-28,2024-06-03,10,Free Cancellation,0,Checked-out
BKG100043,CUST31185,Amman Grand Hotel,Single,54.35,3,138.59,3.5,Bank Transfer,Booking.com,2024-10-28,2024-11-06,2024-11-09,15,Partial Refund,0,Checked-out
BKG100044,CUST29577,Amman Grand Hotel,Double,82.42,2,156.6,4.1,Cash,Direct,2024-12-19,2025-01-10,2025-01-12,5,Partial Refund,0,Checked-out
BKG100045,CUST25227,Amman Grand Hotel,Single,70.98,4,283.92,4.0,Cash,Direct,2024-10-10,2024-10-31,2024-11-04,0,Free Cancellation,0,Checked-out
BKG100046,CUST32921,Amman Grand Hotel,Double,104.56,3,266.63,4.3,Online Payment,Booking.com,2023-12-18,2023-12-31,2024-01-03,15,Partial Refund,0,Checked-out
BKG100047,CUST33230,Amman Grand Hotel,Suite,219.12,4,876.48,4.6,Online Payment,Booking.com,2023-12-22,2024-01-17,2024-01-21,0,Non-refundable,0,Checked-out
BKG100048,CUST14010,Amman Grand Hotel,Deluxe,149.08,5,670.86,4.0,Bank Transfer,Agoda,2025-12-04,2025-12-18,2025-12-23,10,Non-refundable,0,Checked-out
BKG100049,CUST21020,Amman Grand Hotel,Double,85.57,4,290.94,3.3,Credit Card,Booking.com,2023-10-13,2023-11-08,2023-11-12,15,Free Cancellation,0,Checked-out
BKG100050,CUST12777,Amman Grand Hotel,Double,69.88,4,251.57,4.7,Credit Card,Booking.com,2025-12-18,2026-02-17,2026-02-21,10,Free Cancellation,0,Checked-out
BKG100051,CUST43253,Amman Grand Hotel,Double,85.27,3,204.65,4.2,Cash,Expedia,2024-12-01,2024-12-10,2024-12-13,20,Partial Refund,0,Checked-out
BKG100052,CUST42715,Amman Grand Hotel,Double,73.12,4,277.86,3.3,Credit Card,Agoda,2025-09-17,2025-10-20,2025-10-24,5,Partial Refund,0,Checked-out
BKG100053,CUST22678,Amman Grand Hotel,Double,79.19,6,427.63,3.3,Credit Card,Direct,2025-02-24,2025-03-29,2025-04-04,10,Free Cancellation,0,Checked-out
BKG100054,CUST36195,Amman Grand Hotel,Double,76.83,1,76.83,3.8,Credit Card,Direct,2024-06-12,2024-06-20,2024-06-21,0,Free Cancellation,0,Checked-out
BKG100055,CUST30737,Amman Grand Hotel,Single,68.04,5,272.16,3.7,Bank Transfer,Direct,2023-06-10,2023-06-19,2023-06-24,20,Partial Refund,0,Checked-out
BKG100056,CUST16494,Amman Grand Hotel,Double,60.66,5,288.13,4.6,Cash,Direct,2023-11-02,2023-11-18,2023-11-23,5,Partial Refund,0,Checked-out
BKG100057,CUST40615,Amman Grand Hotel,Deluxe,110.98,4,399.53,5.0,Online Payment,Direct,2025-03-03,2025-03-26,2025-03-30,10,Free Cancellation,0,Checked-out
BKG100058,CUST44681,Amman Grand Hotel,Double,96.96,1,96.96,3.8,Cash,Direct,2025-05-10,2025-05-19,2025-05-20,0,Partial Refund,0,Checked-out
BKG100059,CUST25063,Amman Grand Hotel,Double,72.41,4,260.68,3.7,Credit Card,Expedia,2025-12-18,2026-01-01,2026-01-05,10,Partial Refund,0,Checked-out
BKG100060,CUST33230,Amman Grand Hotel,Single,55.43,3,166.29,4.0,Online Payment,Direct,2023-02-07,2023-02-14,2023-02-17,0,Partial Refund,0,Checked-out
BKG100061,CUST16494,Amman Grand Hotel,Single,85.51,5,406.17,4.5,Credit Card,Direct,2023-05-03,2023-05-19,2023-05-24,5,Free Cancellation,0,Checked-out
BKG100062,CUST12802,Amman Grand Hotel,Single,65.59,5,327.95,4.8,Credit Card,Agoda,2024-02-15,2024-03-01,2024-03-06,0,Partial Refund,0,Checked-out
BKG100063,CUST21198,Amman Grand Hotel,Double,102.25,1,97.14,4.3,Credit Card,Booking.com,2025-10-19,2025-11-03,2025-11-04,5,Non-refundable,0,Checked-out
BKG100064,CUST46949,Amman Grand Hotel,Single,77.0,4,77.0,4.1,Online Payment,Agoda,2025-07-16,2025-08-01,2025-08-05,0,Partial Refund,1,Cancelled
BKG100065,CUST44456,Amman Grand Hotel,Single,62.89,3,179.24,4.3,Credit Card,Direct,2024-12-03,2024-12-10,2024-12-13,5,Non-refundable,0,Checked-out
BKG100066,CUST20009,Amman Grand Hotel,Double,105.9,1,95.31,3.4,Online Payment,Booking.com,2023-04-09,2023-04-14,2023-04-15,10,Partial Refund,0,Checked-out
BKG100067,CUST12927,Amman Grand Hotel,Double,79.17,2,158.34,4.2,Credit Card,Direct,2025-10-09,2025-10-23,2025-10-25,0,Non-refundable,0,Checked-out
BKG100068,CUST46996,Amman Grand Hotel,Single,74.18,2,140.94,4.4,Credit Card,Agoda,2023-04-17,2023-05-14,2023-05-16,5,Free Cancellation,0,Checked-out
BKG100069,CUST37901,Amman Grand Hotel,Double,121.3,1,121.3,4.1,Credit Card,Agoda,2023-11-12,2023-12-23,2023-12-24,0,Partial Refund,0,Checked-out
BKG100070,CUST14713,Amman Grand Hotel,Deluxe,175.1,5,744.18,4.6,Credit Card,Booking.com,2025-03-09,2025-04-03,2025-04-08,15,Partial Refund,0,Checked-out
BKG100071,CUST42398,Amman Grand Hotel,Family,225.71,4,857.7,4.1,Credit Card,Agoda,2023-08-22,2023-09-06,2023-09-10,5,Partial Refund,0,Checked-out
BKG100072,CUST33614,Amman Grand Hotel,Single,50.03,4,180.11,3.5,Credit Card,Booking.com,2023-10-07,2023-10-12,2023-10-16,10,Free Cancellation,0,Checked-out
BKG100073,CUST16475,Amman Grand Hotel,Deluxe,138.94,1,131.99,4.3,Bank Transfer,Booking.com,2025-12-31,2026-01-13,2026-01-14,5,Free Cancellation,0,Checked-out
BKG100074,CUST10999,Amman Grand Hotel,Deluxe,128.94,1,103.15,4.9,Credit Card,Booking.com,2023-03-20,2023-04-04,2023-04-05,20,Partial Refund,0,Checked-out
BKG100075,CUST47278,Amman Grand Hotel,Deluxe,118.88,4,451.74,4.0,Online Payment,Booking.com,2023-09-20,2023-10-09,2023-10-13,5,Non-refundable,0,Checked-out
BKG100076,CUST22327,Amman Grand Hotel,Double,86.69,7,546.15,4.6,Credit Card,Expedia,2023-02-26,2023-04-05,2023-04-12,10,Free Cancellation,0,Checked-out
BKG100077,CUST34946,Amman Grand Hotel,Single,63.54,7,422.54,4.0,Credit Card,Booking.com,2024-03-23,2024-03-26,2024-04-02,5,Free Cancellation,0,Checked-out
BKG100078,CUST16494,Amman Grand Hotel,Single,43.32,4,173.28,4.1,Cash,Expedia,2024-02-06,2024-02-14,2024-02-18,0,Partial Refund,0,Checked-out
BKG100079,CUST41189,Amman Grand Hotel,Suite,326.82,4,1307.28,4.4,Online Payment,Booking.com,2024-07-20,2024-07-30,2024-08-03,0,Partial Refund,0,Checked-out
BKG100080,CUST12663,Amman Grand Hotel,Deluxe,106.59,7,708.82,4.7,Credit Card,Direct,2024-11-17,2024-11-26,2024-12-03,5,Non-refundable,0,Checked-out
BKG100081,CUST46996,Amman Grand Hotel,Family,168.45,2,336.9,4.2,Online Payment,Expedia,2025-11-21,2025-11-29,2025-12-01,0,Non-refundable,0,Checked-out
BKG100082,CUST35540,Amman Grand Hotel,Deluxe,153.52,7,0.0,4.1,Online Payment,Direct,2025-06-23,2025-06-27,2025-07-04,10,Free Cancellation,1,Cancelled
BKG100083,CUST15144,Amman Grand Hotel,Double,83.68,1,75.31,3.7,Credit Card,Direct,2025-10-08,2025-10-14,2025-10-15,10,Partial Refund,0,Checked-out
BKG100084,CUST34946,Amman Grand Hotel,Double,114.2,2,194.14,4.1,Credit Card,Direct,2024-12-18,2024-12-25,2024-12-27,15,Partial Refund,0,Checked-out
BKG100085,CUST29960,Amman Grand Hotel,Deluxe,123.28,5,110.95,4.1,Credit Card,Direct,2024-12-25,2025-01-03,2025-01-08,10,Free Cancellation,0,No-show
BKG100086,CUST21720,Amman Grand Hotel,Single,79.25,8,538.9,3.6,Credit Card,Expedia,2025-06-15,2025-08-21,2025-08-29,15,Non-refundable,0,Checked-out
BKG100087,CUST40820,Amman Grand Hotel,Double,73.95,2,73.95,4.1,Credit Card,Agoda,2023-01-22,2023-01-25,2023-01-27,0,Free Cancellation,0,No-show
BKG100088,CUST46259,Amman Grand Hotel,Family,165.17,6,991.02,3.9,Cash,Booking.com,2025-07-28,2025-07-31,2025-08-06,0,Non-refundable,0,Checked-out
BKG100089,CUST16227,Amman Grand Hotel,Single,43.42,2,0.0,4.1,Credit Card,Expedia,2023-02-13,2023-02-20,2023-02-22,15,Free Cancellation,1,Cancelled
BKG100090,CUST21756,Amman Grand Hotel,Suite,254.64,3,687.53,4.8,Online Payment,Expedia,2025-06-12,2025-06-21,2025-06-24,10,Free Cancellation,0,Checked-out
BKG100091,CUST16494,Amman Grand Hotel,Single,62.52,5,296.97,4.4,Cash,Direct,2023-04-11,2023-04-27,2023-05-02,5,Free Cancellation,0,Checked-out
BKG100092,CUST31769,Amman Grand Hotel,Double,97.64,5,488.2,4.1,Online Payment,Agoda,2025-12-30,2026-01-17,2026-01-22,0,Non-refundable,0,Checked-out
BKG100093,CUST10415,Amman Grand Hotel,Single,65.71,2,131.42,3.8,Credit Card,Booking.com,2025-10-03,2025-10-08,2025-10-10,0,Partial Refund,0,Checked-out
BKG100094,CUST41439,Amman Grand Hotel,Single,85.36,14,1135.29,4.6,Credit Card,Booking.com,2025-12-03,2025-12-10,2025-12-24,5,Non-refundable,0,Checked-out
BKG100095,CUST12189,Amman Grand Hotel,Double,59.2,2,112.48,4.2,Credit Card,Direct,2024-03-11,2024-03-19,2024-03-21,5,Free Cancellation,0,Checked-out
BKG100096,CUST16723,Amman Grand Hotel,Single,56.5,2,96.05,3.7,Credit Card,Expedia,2024-04-28,2024-05-27,2024-05-29,15,Free Cancellation,0,Checked-out
BKG100097,CUST47557,Amman Grand Hotel,Single,52.37,5,235.66,3.0,Online Payment,Booking.com,2024-03-02,2024-03-13,2024-03-18,10,Non-refundable,0,Checked-out
BKG100098,CUST46733,Amman Grand Hotel,Deluxe,137.87,3,351.57,3.2,Cash,Direct,2024-09-10,2024-09-11,2024-09-14,15,Free Cancellation,0,Checked-out
BKG100099,CUST37591,Amman Grand Hotel,Single,40.74,3,29.03,4.1,Credit Card,Direct,2025-11-13,2025-11-26,2025-11-29,5,Partial Refund,1,Cancelled
BKG100100,CUST42657,Amman Grand Hotel,Deluxe,180.83,3,542.49,3.8,Bank Transfer,Booking.com,2025-07-15,2025-08-15,2025-08-18,0,Free Cancellation,0,Checked-out
BKG100101,CUST34946,Amman Grand Hotel,Family,176.86,2,318.35,4.9,Credit Card,Agoda,2024-09-02,2024-09-15,2024-09-17,10,Non-refundable,0,Checked-out
BKG100102,CUST28322,Amman Grand Hotel,Double,60.17,10,511.45,3.4,Credit Card,Booking.com,2025-10-28,2025-11-21,2025-12-01,15,Partial Refund,0,Checked-out
BKG100103,CUST20363,Amman Grand Hotel,Double,82.84,10,704.14,4.3,Credit Card,Expedia,2025-01-07,2025-03-14,2025-03-24,15,Partial Refund,0,Checked-out
BKG100104,CUST51033,Amman Grand Hotel,Single,87.08,1,74.02,3.8,Online Payment,Agoda,2023-11-03,2023-12-01,2023-12-02,15,Partial Refund,0,Checked-out
BKG100105,CUST50762,Amman Grand Hotel,Double,125.04,9,1012.82,4.3,Credit Card,Direct,2025-07-13,2025-07-16,2025-07-25,10,Free Cancellation,0,Checked-out
BKG100106,CUST50491,Amman Grand Hotel,Deluxe,122.32,5,611.6,3.3,Online Payment,Expedia,2024-11-10,2024-11-19,2024-11-24,0,Partial Refund,0,Checked-out
BKG100107,CUST51033,Amman Grand Hotel,Deluxe,186.77,10,1774.32,3.7,Credit Card,Direct,2024-12-17,2024-12-31,2025-01-10,5,Non-refundable,0,Checked-out
BKG100108,CUST44029,Amman Grand Hotel,Suite,376.08,3,959.0,4.3,Bank Transfer,Expedia,2025-05-06,2025-05-25,2025-05-28,15,Partial Refund,0,Checked-out
BKG100109,CUST50611,Amman Grand Hotel,Double,91.36,1,91.36,4.5,Bank Transfer,Booking.com,2024-07-10,2024-07-16,2024-07-17,0,Free Cancellation,0,Checked-out
BKG100110,CUST48761,Amman Grand Hotel,Double,71.42,5,0.0,4.1,Credit Card,Direct,2025-08-21,2025-08-30,2025-09-04,5,Free Cancellation,1,Cancelled
BKG100111,CUST21198,Amman Grand Hotel,Single,64.65,1,58.19,4.1,Credit Card,Agoda,2024-02-14,2024-03-01,2024-03-02,10,Non-refundable,0,Checked-out
BKG100112,CUST47460,Amman Grand Hotel,Deluxe,131.02,2,235.84,4.3,Online Payment,Agoda,2023-04-07,2023-04-22,2023-04-24,10,Non-refundable,0,Checked-out
BKG100113,CUST35187,Amman Grand Hotel,Suite,309.66,4,1176.71,4.8,Online Payment,Booking.com,2023-05-10,2023-06-06,2023-06-10,5,Non-refundable,0,Checked-out
BKG100114,CUST33614,Amman Grand Hotel,Deluxe,126.6,2,253.2,4.7,Credit Card,Expedia,2025-03-25,2025-04-26,2025-04-28,0,Partial Refund,0,Checked-out
BKG100115,CUST16227,Amman Grand Hotel,Family,122.9,1,110.61,4.6,Credit Card,Agoda,2024-01-30,2024-02-24,2024-02-25,10,Free Cancellation,0,Checked-out
BKG100116,CUST47557,Amman Grand Hotel,Suite,314.98,4,1196.92,4.7,Online Payment,Agoda,2025-05-12,2025-05-23,2025-05-27,5,Non-refundable,0,Checked-out
BKG100117,CUST24055,Amman Grand Hotel,Single,64.46,2,116.03,4.5,Credit Card,Agoda,2023-01-27,2023-02-10,2023-02-12,10,Partial Refund,0,Checked-out
BKG100118,CUST18092,Amman Grand Hotel,Double,89.89,1,85.4,4.5,Credit Card,Expedia,2023-05-14,2023-05-24,2023-05-25,5,Partial Refund,0,Checked-out
BKG100119,CUST46996,Amman Grand Hotel,Family,166.7,1,141.7,3.5,Cash,Direct,2023-08-10,2023-09-06,2023-09-07,15,Partial Refund,0,Checked-out
BKG100120,CUST11401,Amman Grand Hotel,Deluxe,149.2,2,283.48,3.2,Online Payment,Direct,2023-08-17,2023-08-22,2023-08-24,5,Free Cancellation,0,Checked-out
BKG100121,CUST17658,Amman Grand Hotel,Deluxe,140.77,10,1196.54,5.0,Online Payment,Expedia,2024-01-29,2024-02-24,2024-03-05,15,Non-refundable,0,Checked-out
BKG100122,CUST32811,Amman Grand Hotel,Single,63.16,4,0.0,4.1,Bank Transfer,Booking.com,2023-03-07,2023-04-04,2023-04-08,15,Free Cancellation,1,Cancelled
BKG100123,CUST50129,Amman Grand Hotel,Double,68.85,2,123.93,4.4,Credit Card,Booking.com,2024-12-17,2025-01-07,2025-01-09,10,Partial Refund,0,Checked-out
BKG100124,CUST30828,Amman Grand Hotel,Single,71.82,1,64.64,4.2,Credit Card,Expedia,2023-06-21,2023-07-13,2023-07-14,10,Non-refundable,0,Checked-out
BKG100125,CUST16494,Amman Grand Hotel,Double,106.37,1,101.05,4.7,Credit Card,Direct,2023-07-09,2023-07-27,2023-07-28,5,Partial Refund,0,Checked-out
BKG100126,CUST32616,Amman Grand Hotel,Double,119.74,4,455.01,3.6,Credit Card,Direct,2023-04-25,2023-05-16,2023-05-20,5,Partial Refund,0,Checked-out
BKG100127,CUST38390,Amman Grand Hotel,Double,88.78,7,497.17,3.7,Credit Card,Booking.com,2023-07-29,2023-08-19,2023-08-26,20,Free Cancellation,0,Checked-out
BKG100128,CUST48951,Amman Grand Hotel,Suite,305.36,8,2198.59,5.0,Credit Card,Expedia,2023-05-26,2023-06-27,2023-07-05,10,Partial Refund,0,Checked-out
BKG100129,CUST45908,Amman Grand Hotel,Single,71.28,2,0.0,4.1,Credit Card,Direct,2024-11-18,2024-11-19,2024-11-21,0,Free Cancellation,1,Cancelled
BKG100130,CUST44916,Amman Grand Hotel,Deluxe,173.07,1,173.07,4.5,Online Payment,Direct,2024-04-28,2024-05-10,2024-05-11,0,Non-refundable,0,Checked-out
BKG100131,CUST32856,Amman Grand Hotel,Double,113.16,4,452.64,4.0,Online Payment,Agoda,2023-07-14,2023-07-22,2023-07-26,0,Partial Refund,0,Checked-out
BKG100132,CUST51033,Amman Grand Hotel,Double,101.93,2,193.67,4.4,Bank Transfer,Booking.com,2024-05-07,2024-05-21,2024-05-23,5,Free Cancellation,0,Checked-out
BKG100133,CUST49426,Amman Grand Hotel,Double,63.69,3,171.96,4.5,Credit Card,Agoda,2024-02-08,2024-03-19,2024-03-22,10,Partial Refund,0,Checked-out
BKG100134,CUST43994,Amman Grand Hotel,Single,67.42,1,0.0,4.1,Credit Card,Booking.com,2025-06-02,2025-07-22,2025-07-23,15,Free Cancellation,1,Cancelled
BKG100135,CUST45908,Amman Grand Hotel,Single,40.66,1,40.66,3.2,Online Payment,Agoda,2025-07-23,2025-08-12,2025-08-13,0,Partial Refund,0,Checked-out
BKG100136,CUST51033,Amman Grand Hotel,Single,49.4,1,49.4,4.7,Credit Card,Agoda,2023-01-20,2023-03-06,2023-03-07,0,Free Cancellation,0,Checked-out
BKG100137,CUST25301,Amman Grand Hotel,Double,106.02,1,95.42,3.6,Online Payment,Agoda,2024-10-23,2024-12-12,2024-12-13,10,Free Cancellation,0,Checked-out
BKG100138,CUST52417,Amman Grand Hotel,Deluxe,180.38,2,0.0,4.1,Credit Card,Expedia,2023-07-25,2023-09-12,2023-09-14,10,Free Cancellation,1,Cancelled
BKG100139,CUST16227,Amman Grand Hotel,Double,117.39,3,316.95,4.7,Bank Transfer,Direct,2025-07-12,2025-07-31,2025-08-03,10,Partial Refund,0,Checked-out
BKG100140,CUST49418,Amman Grand Hotel,Family,212.46,9,1816.53,3.8,Credit Card,Expedia,2025-05-29,2025-06-20,2025-06-29,5,Non-refundable,0,Checked-out
BKG100141,CUST19258,Amman Grand Hotel,Family,155.87,6,841.7,4.2,Credit Card,Expedia,2023-06-15,2023-07-02,2023-07-08,10,Non-refundable,0,Checked-out
BKG100142,CUST34946,Amman Grand Hotel,Single,49.96,3,149.88,3.6,Credit Card,Agoda,2024-01-14,2024-02-03,2024-02-06,0,Partial Refund,0,Checked-out
BKG100143,CUST35802,Amman Grand Hotel,Deluxe,129.97,6,779.82,4.3,Cash,Direct,2024-12-02,2024-12-17,2024-12-23,0,Partial Refund,0,Checked-out
BKG100144,CUST51305,Amman Grand Hotel,Single,101.15,4,343.91,5.0,Bank Transfer,Direct,2023-12-09,2023-12-16,2023-12-20,15,Partial Refund,0,Checked-out
BKG100145,CUST21616,Amman Grand Hotel,Single,67.9,7,0.0,4.1,Credit Card,Booking.com,2025-07-23,2025-08-10,2025-08-17,25,Free Cancellation,1,Cancelled
BKG100146,CUST30147,Amman Grand Hotel,Double,96.89,1,20.59,4.1,Credit Card,Direct,2025-05-21,2025-06-12,2025-06-13,15,Partial Refund,1,Cancelled
BKG100147,CUST16494,Amman Grand Hotel,Deluxe,172.55,5,776.48,3.5,Credit Card,Booking.com,2025-07-11,2025-07-29,2025-08-03,10,Free Cancellation,0,Checked-out
BKG100148,CUST34893,Amman Grand Hotel,Double,87.21,5,87.21,4.1,Credit Card,Expedia,2023-11-27,2023-12-05,2023-12-10,20,Partial Refund,1,Cancelled
BKG100149,CUST28232,Amman Grand Hotel,Deluxe,168.21,5,714.89,5.0,Credit Card,Direct,2023-09-07,2023-09-19,2023-09-24,15,Non-refundable,0,Checked-out
BKG100150,CUST31185,Amman Grand Hotel,Deluxe,153.61,3,460.83,4.3,Credit Card,Booking.com,2024-03-18,2024-04-11,2024-04-14,0,Free Cancellation,0,Checked-out
BKG100151,CUST13506,Amman Grand Hotel,Single,57.99,5,231.96,4.1,Bank Transfer,Booking.com,2024-04-08,2024-04-10,2024-04-15,20,Non-refundable,0,Checked-out
BKG100152,CUST46996,Amman Grand Hotel,Deluxe,116.49,3,332.0,4.1,Credit Card,Direct,2025-04-16,2025-04-18,2025-04-21,5,Non-refundable,0,Checked-out
